month,hour,freq,latitude,longitude,FaA,DuA,DlA,sigmaFaA,sigmaDuA,sigmaDlA
7, 20, 0.0100, 40.0157, -105.2793, 164.4745, 4.4732, 3.9868, 3.1318, 1.1036, 1.1036
7, 20, 0.0150, 40.0157, -105.2793, 159.0549, 4.3820, 4.3362, 3.0651, 1.0042, 1.0042
7, 20, 0.0200, 40.0157, -105.2793, 154.9495, 4.6358, 4.6828, 3.0814, 1.0945, 1.0945
7, 20, 0.0250, 40.0157, -105.2793, 151.6191, 4.9632, 4.9880, 3.1251, 1.2309, 1.2309
7, 20, 0.0300, 40.0157, -105.2793, 148.8059, 5.2921, 5.2519, 3.1783, 1.3739, 1.3739
7, 20, 0.0350, 40.0157, -105.2793, 146.3650, 5.6014, 5.4805, 3.2341, 1.5109, 1.5109
7, 20, 0.0400, 40.0157, -105.2793, 144.2060, 5.8853, 5.6799, 3.2895, 1.6381, 1.6381
7, 20, 0.0500, 40.0157, -105.2793, 140.5105, 6.3782, 6.0101, 3.3948, 1.8611, 1.8611
7, 20, 0.0600, 40.0157, -105.2793, 137.4153, 6.7850, 6.2721, 3.4907, 2.0464, 2.0464
7, 20, 0.0700, 40.0157, -105.2793, 134.7499, 7.1229, 6.4845, 3.5773, 2.2010, 2.2010
7, 20, 0.0800, 40.0157, -105.2793, 132.4085, 7.4062, 6.6598, 3.6555, 2.3309, 2.3309
7, 20, 0.0900, 40.0157, -105.2793, 130.3208, 7.6458, 6.8066, 3.7263, 2.4409, 2.4409
7, 20, 0.1000, 40.0157, -105.2793, 128.4374, 7.8500, 6.9309, 3.7908, 2.5348, 2.5348
7, 20, 0.1500, 40.0157, -105.2793, 121.0829, 8.5208, 7.3370, 4.0428, 2.8432, 2.8432
7, 20, 0.2000, 40.0157, -105.2793, 115.8086, 8.8600, 7.5452, 4.2178, 2.9988, 2.9988
7, 20, 0.2500, 40.0157, -105.2793, 111.7191, 9.0322, 7.6557, 4.3466, 3.0774, 3.0774
7, 20, 0.3000, 40.0157, -105.2793, 108.3962, 9.1100, 7.7112, 4.4451, 3.1126, 3.1126
7, 20, 0.3500, 40.0157, -105.2793, 105.6099, 9.1304, 7.7332, 4.5223, 3.1214, 3.1214
7, 20, 0.4000, 40.0157, -105.2793, 103.2197, 9.1142, 7.7336, 4.5839, 3.1136, 3.1136
7, 20, 0.5000, 40.0157, -105.2793, 99.2871, 9.0175, 7.6957, 4.6743, 3.0689, 3.0689
7, 20, 0.6000, 40.0157, -105.2793, 96.1427, 8.8754, 7.6294, 4.7347, 3.0039, 3.0039
7, 20, 0.7000, 40.0157, -105.2793, 93.5396, 8.7131, 7.5493, 4.7750, 2.9302, 2.9302
7, 20, 0.8000, 40.0157, -105.2793, 91.3289, 8.5430, 7.4626, 4.8014, 2.8535, 2.8535
7, 20, 0.9000, 40.0157, -105.2793, 89.4141, 8.3717, 7.3733, 4.8175, 2.7767, 2.7767
7, 20, 1.0000, 40.0157, -105.2793, 87.7294, 8.2028, 7.2837, 4.8258, 2.7013, 2.7013
7, 20, 1.5000, 40.0157, -105.2793, 81.4781, 7.4369, 6.8614, 4.7996, 2.3649, 2.3649
7, 20, 2.0000, 40.0157, -105.2793, 77.2112, 6.8155, 6.4993, 4.7184, 2.0993, 2.0993
7, 20, 2.5000, 40.0157, -105.2793, 73.9320, 6.3152, 6.1923, 4.6156, 1.8916, 1.8916
7, 20, 3.0000, 40.0157, -105.2793, 71.2221, 5.9098, 5.9302, 4.5038, 1.7289, 1.7289
7, 20, 3.5000, 40.0157, -105.2793, 68.8727, 5.5788, 5.7043, 4.3886, 1.6011, 1.6011
7, 20, 4.0000, 40.0157, -105.2793, 66.7673, 5.3075, 5.5077, 4.2730, 1.5011, 1.5011
7, 20, 5.0000, 40.0157, -105.2793, 63.0339, 4.9014, 5.1834, 4.0452, 1.3641, 1.3641
7, 20, 6.0000, 40.0157, -105.2793, 59.7084, 4.6302, 4.9284, 3.8255, 1.2888, 1.2888
7, 20, 7.0000, 40.0157, -105.2793, 56.6446, 4.4562, 4.7247, 3.6153, 1.2574, 1.2574
7, 20, 8.0000, 40.0157, -105.2793, 53.7649, 4.3550, 4.5601, 3.4143, 1.2586, 1.2586
7, 20, 9.0000, 40.0157, -105.2793, 51.0238, 4.3098, 4.4264, 3.2222, 1.2846, 1.2846
7, 20, 10.0000, 40.0157, -105.2793, 48.3921, 4.3087, 4.3175, 3.0381, 1.3298, 1.3298
7, 20, 15.0000, 40.0157, -105.2793, 36.3114, 4.7221, 4.0192, 3.0381, 1.7344, 1.7344
7, 20, 20.0000, 40.0157, -105.2793, 25.1611, 5.5104, 3.9589, 3.0381, 2.2912, 2.2912
7, 20, 25.0000, 40.0157, -105.2793, 14.1167, 5.5104, 3.9589, 3.0381, 2.2912, 2.2912
7, 20, 30.0000, 40.0157, -105.2793, 2.5163, 5.5104, 3.9589, 3.0381, 2.2912, 2.2912
