month,hour,freq,latitude,longitude,FaA,DuA,DlA,sigmaFaA,sigmaDuA,sigmaDlA
7, 4, 0.0100, 40.0157, -105.2793, 161.0946, 5.0836, 2.8003, 4.3170, 1.3941, 1.3941
7, 4, 0.0150, 40.0157, -105.2793, 155.4067, 5.0760, 5.0165, 3.0897, 1.1423, 1.1423
7, 4, 0.0200, 40.0157, -105.2793, 150.9151, 5.6050, 6.4281, 2.8434, 1.2376, 1.2376
7, 4, 0.0250, 40.0157, -105.2793, 147.1601, 6.2455, 7.4344, 2.9240, 1.4294, 1.4294
7, 4, 0.0300, 40.0157, -105.2793, 143.9132, 6.8839, 8.2004, 3.1279, 1.6451, 1.6451
7, 4, 0.0350, 40.0157, -105.2793, 141.0421, 7.4862, 8.8095, 3.3770, 1.8595, 1.8595
7, 4, 0.0400, 40.0157, -105.2793, 138.4624, 8.0438, 9.3089, 3.6379, 2.0637, 2.0637
7, 4, 0.0500, 40.0157, -105.2793, 133.9625, 9.0268, 10.0856, 4.1428, 2.4319, 2.4319
7, 4, 0.0600, 40.0157, -105.2793, 130.1158, 9.8571, 10.6674, 4.5971, 2.7473, 2.7473
7, 4, 0.0700, 40.0157, -105.2793, 126.7500, 10.5638, 11.1226, 4.9956, 3.0173, 3.0173
7, 4, 0.0800, 40.0157, -105.2793, 123.7553, 11.1714, 11.4899, 5.3429, 3.2496, 3.2496
7, 4, 0.0900, 40.0157, -105.2793, 121.0571, 11.6987, 11.7933, 5.6457, 3.4510, 3.4510
7, 4, 0.1000, 40.0157, -105.2793, 118.6019, 12.1603, 12.0483, 5.9105, 3.6267, 3.6267
7, 4, 0.1500, 40.0157, -105.2793, 108.8532, 13.7998, 12.8866, 6.8293, 4.2415, 4.2415
7, 4, 0.2000, 40.0157, -105.2793, 101.7511, 14.7815, 13.3441, 7.3384, 4.5963, 4.5963
7, 4, 0.2500, 40.0157, -105.2793, 96.2204, 15.4118, 13.6202, 7.6279, 4.8131, 4.8131
7, 4, 0.3000, 40.0157, -105.2793, 91.7370, 15.8308, 13.7945, 7.7882, 4.9480, 4.9480
7, 4, 0.3500, 40.0157, -105.2793, 88.0028, 16.1131, 13.9058, 7.8671, 5.0308, 5.0308
7, 4, 0.4000, 40.0157, -105.2793, 84.8308, 16.3018, 13.9751, 7.8926, 5.0786, 5.0786
7, 4, 0.5000, 40.0157, -105.2793, 79.7098, 16.4977, 14.0345, 7.8457, 5.1082, 5.1082
7, 4, 0.6000, 40.0157, -105.2793, 75.7417, 16.5442, 14.0300, 7.7254, 5.0857, 5.0857
7, 4, 0.7000, 40.0157, -105.2793, 72.5736, 16.5030, 13.9885, 7.5685, 5.0343, 5.0343
7, 4, 0.8000, 40.0157, -105.2793, 69.9885, 16.4078, 13.9242, 7.3938, 4.9666, 4.9666
7, 4, 0.9000, 40.0157, -105.2793, 67.8432, 16.2784, 13.8454, 7.2118, 4.8896, 4.8896
7, 4, 1.0000, 40.0157, -105.2793, 66.0389, 16.1270, 13.7573, 7.0282, 4.8077, 4.8077
7, 4, 1.5000, 40.0157, -105.2793, 60.1811, 15.2438, 13.2582, 6.1712, 4.3885, 4.3885
7, 4, 2.0000, 40.0157, -105.2793, 57.0775, 14.3505, 12.7455, 5.4654, 4.0096, 4.0096
7, 4, 2.5000, 40.0157, -105.2793, 55.1935, 13.5255, 12.2538, 4.8999, 3.6842, 3.6842
7, 4, 3.0000, 40.0157, -105.2793, 53.9003, 12.7785, 11.7892, 4.4484, 3.4070, 3.4070
7, 4, 3.5000, 40.0157, -105.2793, 52.8988, 12.1042, 11.3510, 4.0881, 3.1703, 3.1703
7, 4, 4.0000, 40.0157, -105.2793, 52.0345, 11.4943, 10.9371, 3.8016, 2.9676, 2.9676
7, 4, 5.0000, 40.0157, -105.2793, 50.4196, 10.4365, 10.1724, 3.3992, 2.6432, 2.6432
7, 4, 6.0000, 40.0157, -105.2793, 48.7423, 9.5520, 9.4780, 3.1660, 2.4018, 2.4018
7, 4, 7.0000, 40.0157, -105.2793, 46.9166, 8.8024, 8.8405, 3.0552, 2.2223, 2.2223
7, 4, 8.0000, 40.0157, -105.2793, 44.9346, 8.1602, 8.2501, 3.0361, 2.0904, 2.0904
7, 4, 9.0000, 40.0157, -105.2793, 42.8160, 7.6051, 7.6992, 3.0874, 1.9960, 1.9960
7, 4, 10.0000, 40.0157, -105.2793, 40.5884, 7.1219, 7.1820, 3.1939, 1.9316, 1.9316
7, 4, 15.0000, 40.0157, -105.2793, 28.6836, 5.4526, 4.9693, 3.1939, 1.9069, 1.9069
7, 4, 20.0000, 40.0157, -105.2793, 16.8593, 4.5473, 3.1753, 3.1939, 2.1635, 2.1635
7, 4, 25.0000, 40.0157, -105.2793, 5.7015, 4.5473, 3.1753, 3.1939, 2.1635, 2.1635
7, 4, 30.0000, 40.0157, -105.2793, -5.0831, 4.5473, 3.1753, 3.1939, 2.1635, 2.1635
